"","replicate","areas","areas_ha","species","species_tl1","species_tl2","links","connectances","links_per_sp","indegree","outdegree","modularity","normalised_indegree","normalised_outdegree","potential_indegree","sd_gen"
"1025",94,2,0.1437,50,23,27,62,0.0998389694041868,1.24,2.2962962962963,2.69565217391304,0.49375650364204,1.85185185185185,2.17391304347826,16.8148148148148,1.41133135025112
"1026",94,3,0.257,67,33,34,94,0.0837789661319073,1.40298507462687,2.76470588235294,2.84848484848485,0.469895880488909,1.97058823529412,2.03030303030303,14.4411764705882,1.89035799721597
"1027",94,4,0.3345,74,38,36,111,0.081140350877193,1.5,3.08333333333333,2.92105263157895,0.442821199577956,2.05555555555556,1.94736842105263,14.1666666666667,2.20461276879126
"1028",94,5,0.3674,78,40,38,119,0.0782894736842105,1.52564102564103,3.13157894736842,2.975,0.423910740766895,2.05263157894737,1.95,13.6052631578947,2.34193647000453
"1029",94,6,0.4163,88,46,42,143,0.0740165631469979,1.625,3.4047619047619,3.10869565217391,0.410924739596068,2.0952380952381,1.91304347826087,12.4285714285714,2.3855417630367
"1030",94,7,0.4622,92,47,45,158,0.0747044917257683,1.71739130434783,3.51111111111111,3.36170212765957,0.387317737542061,2.04444444444444,1.95744680851064,12.1333333333333,2.52171328732469
"1031",94,8,0.5059,103,50,53,179,0.0675471698113208,1.7378640776699,3.37735849056604,3.58,0.376267906744484,1.94339622641509,2.06,10.9811320754717,2.54154878830549
"1032",94,9,0.572,111,54,57,199,0.0646523716699155,1.79279279279279,3.49122807017544,3.68518518518519,0.355395065781167,1.94736842105263,2.05555555555556,10.4210526315789,2.44302371886044
"1033",94,10,0.664,114,56,58,215,0.0661945812807882,1.8859649122807,3.70689655172414,3.83928571428571,0.34656571119524,1.96551724137931,2.03571428571429,10.3965517241379,2.40434045509403
"1034",94,11,0.7133,119,58,61,227,0.0641605426794799,1.90756302521008,3.72131147540984,3.91379310344828,0.348541597935144,1.95081967213115,2.05172413793103,9.95081967213115,2.44039970348216
"1035",95,1,0.0489,39,19,20,36,0.0947368421052632,0.923076923076923,1.8,1.89473684210526,0.614969135802469,1.95,2.05263157894737,17.2,1.43203735780602
"1036",95,2,0.0818,44,21,23,49,0.101449275362319,1.11363636363636,2.1304347826087,2.33333333333333,0.51228654727197,1.91304347826087,2.0952380952381,15.8260869565217,1.76097323832651
"1037",95,3,0.1311,60,29,31,76,0.0845383759733037,1.26666666666667,2.45161290322581,2.62068965517241,0.462950138504155,1.93548387096774,2.06896551724138,14.1612903225806,2.22213782740686
"1038",95,4,0.1972,77,36,41,104,0.0704607046070461,1.35064935064935,2.53658536585366,2.88888888888889,0.434541420118343,1.8780487804878,2.13888888888889,12.2682926829268,2.19694436195222
"1039",95,5,0.2409,88,41,47,126,0.0653866113129216,1.43181818181818,2.68085106382979,3.07317073170732,0.445200302343159,1.87234042553191,2.14634146341463,11.2340425531915,2.18009451447598
"1040",95,6,0.3532,97,47,50,153,0.0651063829787234,1.57731958762887,3.06,3.25531914893617,0.382716049382716,1.94,2.06382978723404,11.3,2.27836007498605
"1041",95,7,0.4307,99,49,50,160,0.0653061224489796,1.61616161616162,3.2,3.26530612244898,0.3761328125,1.98,2.02040816326531,11.3,2.26741031874944
"1042",95,8,0.4621,104,50,54,175,0.0648148148148148,1.68269230769231,3.24074074074074,3.5,0.371395918367347,1.92592592592593,2.08,10.5925925925926,2.19931223553827
"1043",95,9,0.508,107,52,55,187,0.0653846153846154,1.74766355140187,3.4,3.59615384615385,0.349852726700792,1.94545454545455,2.05769230769231,10.5454545454545,2.32190805548385
"1044",95,10,0.6,113,55,58,203,0.0636363636363636,1.79646017699115,3.5,3.69090909090909,0.346696110073042,1.94827586206897,2.05454545454545,10.2931034482759,2.29690348978443
